cp_norm,NOx,HC,CO,PM,PN,NO
c[-],[g/h],[g/h],[g/h],[g/h],[g/h],[g/h]
-1.5,1.25298178355482,0.0723744009800665,0,0.0345888101295681,101926446843854,0.791264814784053
-1.25,1.62428562142857,0.0997062535714286,0.210354903571429,0.108423663785714,156928357142857,0.959953442857143
-1,1.99558945930233,0.127038106162791,0.443609837209302,0.182258517441861,211930267441860,1.12864207093023
-0.75,3.73958317857143,0.216759771785714,0.9437594875,0.315450929285714,378197321428571,2.11284728571429
-0.5,6.7320394375,0.338277266666667,1.04381325,0.457500085729167,613142083333333,3.83647446875
-0.25,9.06480933163265,0.406372228571429,0.836836714795918,0.518266707959183,702251326530612,5.17662223979592
0,10.3940027698412,0.346265593650794,0.650448834126986,0.461489657328041,600032698412698,5.89577891798941
0.25,18.3126344104478,0.552116719651741,1.34607977014925,0.815633077039802,1.1159926119403E+15,10.4515148656717
0.5,25.7987408920188,0.650540601173709,1.92420126267605,1.09336431941315,1.44409014084507E+15,14.8011372018779
0.75,36.8819300847458,0.739321211864407,2.31526922485876,1.50550430014124,1.92116892655367E+15,21.3032773728814
1,53.060060150376,0.753709578947368,3.18363545639098,1.95305214511278,2.45150187969925E+15,30.7774014661654
1.25,75.3463405172414,0.813434975862068,3.60131793678161,2.27624697885058,2.88893965517241E+15,43.9555122988506
1.5,89.909355,0.86390655375,2.694837,2.466183735625,3.23176625E+15,52.647611375
1.75,108.229302058824,0.944799294117647,1.71403205882353,2.86585188529412,3.82746764705882E+15,63.802445
2,130.142007142857,0.996648885714286,1.66945621428571,3.09279836785714,4.59393571428571E+15,77.0248328571429
2.25,156.2132,1.08148825,2.29745325,3.037823625,4.9037E+15,92.707035
2.5,203.507916666667,1.089179125,4.190410375,2.65041680416667,4.23358333333333E+15,118.709300833333
2.75,250.802633333333,1.09687,6.0833675,2.26300998333333,3.56346666666667E+15,144.711566666667
3,278.937775,1.22284825,3.152181375,2.717360925,3.9749125E+15,161.9503875
3.25,284.078257142857,1.33721485714286,2.1323295,3.61263088571429,5.12109285714286E+15,166.278464285714
3.5,282.8726375,1.498094875,2.13463075,5.447522875,6.3053E+15,167.3941625
3.75,299.0879,1.591279,2.2330475,6.983426,7.0135E+15,179.0453
4,303.689241071429,1.7295937202381,2.26738725,8.71865503452381,8.0390380952381E+15,183.672811309524
4.25,311.1940625,1.85662579166667,2.31774625,10.4040525916667,8.98524166666667E+15,190.056229166667
4.5,318.698883928571,1.98365786309524,2.36810525,12.0894501488095,9.93144523809524E+15,196.439647023809
4.75,326.203705357143,2.11068993452381,2.41846425,13.7748477059524,1.08776488095238E+16,202.823064880952
5,333.708526785714,2.23772200595238,2.46882325,15.4602452630952,1.18238523809524E+16,209.206482738095
5.25,341.213348214286,2.36475407738095,2.51918225,17.1456428202381,1.2770055952381E+16,215.589900595238
5.5,348.718169642857,2.49178614880952,2.56954125,18.8310403773809,1.37162595238095E+16,221.973318452381
5.75,356.222991071428,2.6188182202381,2.61990025,20.5164379345238,1.46624630952381E+16,228.356736309524
6,363.7278125,2.74585029166667,2.67025925,22.2018354916667,1.56086666666667E+16,234.740154166667